DCU_ID	DOSE	ADMINISTRATION	DISEASE	EFFICACY	EFFECT_TYPE	STAGE	SOURCE	ICD10_S	ICD10_L	EFFECTS_T	TOXICITY	OVERALL
DCU00175	Bupropion: 300 mg/d; Naltrexone: 50 mg/d	null	Obesity	Efficacious	null	Phase 3	Literature curated	E66 Overweight and obesity	E00-E90  Endocrine, nutritional and metabolic diseases; E65-E68  Obesity and other hyperalimentation; E66  Obesity	Preliminary data demonstrated placebo-subtracted weight losses of 3 to 7% and improvements in obesity-related comorbidities and cardiovascular risk factors.	null	showed improvement on risk factors
DCU04510	Cytarabine: 20 mg; Lintuzumab: 600 mg	null	Acute Myeloid Leukemia	Non-efficacious	Unclear	Phase 2	NCT00528333	C92.00 Acute myeloid leukemia	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C92  Myeloid leukaemia; C92.00 Acute myeloid leukemia	null	null	null
DCU04523	Azathioprine: 5 mg/kg; Infliximab: 5 mg/kg	null	"Crohn's Disease"	Efficacious	Unclear	Phase 4	NCT00554710	"K50.9 Crohn's disease, unspecified"	"K00-K93   Diseases of the digestive system; K50-K52  Noninfective enteritis and colitis; K50  Crohn's disease (regional enteritis); K50.9 Crohn's disease, unspecified"	39 (60.0%) of 65 patients in the combined immunosuppression group were in remission without corticosteroids and without surgical resection, compared with 23 (35.9%) of 64 controls, for an absolute difference of 24.1% (95% CI 7.3-40.8, p=0.0062).	null	effective and well tolerated
DCU04525	Cyclophosphamide: 600 mg/m2; Doxorubicin: 60 mg /m2; Gemcitabine: 2 g/m2; Paclitaxel: 75 mg/m2	null	Breast Cancer	Efficacious	Unclear	Phase 3	NCT00093795	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU04552	Lopinavir: 200 mg; Ritonavir: 50 mg	null	HIV Infections	Efficacious	Unclear	Phase 4	NCT00335686	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	Switching to a nucleoside-sparing regimen of nevirapine and lopinavir-ritonavir maintained full antiviral efficacy and led to an improvement in mitochondrial parameters, which suggests a reversion of nucleoside-associated mitochondrial toxicity.	null	effective and well tolerated
DCU04557	Adefovir: 10 mg/d; Entecavir: 1 mg/d; Lamivudine: 100 mg/d	null	Hepatitis B, Chronic	Efficacious	Unclear	Phase 4	NCT01023217	B18.0 Chronic viral hepatitis B with delta-agent	A00-B99  Certain infectious and parasitic diseases; B15-B19  Viral hepatitis; B18  Chronic viral hepatitis; B18.0 Chronic viral hepatitis B with delta-agent	104 weeks of entecavir plus adefovir treatment was associated with a progressive VR, a decrease of levels of preexisting drug-resistant mutants, and no selection for additional resistance mutants of HBV in multiple-drug-refractory CHB patients.	null	active
DCU04560	Clopidogrel: 60 mg; Prasugrel: 60 mg	null	Acute Coronary Syndrome	Non-efficacious	Unclear	Phase 2	NCT01115738	I24.9 Acute ischemic heart disease	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I24  Other acute ischemic heart diseases; I24.9 Acute ischemic heart disease	Platelet reactivity with prasugrel 60 mg LD added to clopidogrel 600 mg LD was not significantly different compared with prasugrel 60 mg LD alone in acute coronary syndrome patients undergoing percutaneous coronary intervention.	null	no better than monotherapy
DCU04562	Clopidogrel: 75 mg; Prasugrel: 10 mg	null	Coronary Arteriosclerosis	Efficacious	Unclear	Phase 2	NCT00356135	I25.1 Atherosclerotic heart disease of native coronary artery	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.1 Atherosclerotic heart disease of native coronary artery	A significantly higher HPR prevalence was observed during clopidogrel versus the combined prasugrel therapy groups at seven days as measured by MPA >65% (21.2% vs. 4.5%, p<0.05), PRU >235 (18.8% vs. 0%, p=0.001), and platelet reactivity index >50 % (66.7% vs. 7.9%, p<0.0001). There was a significantly higher percentage of subjects carrying at least one reduced function allele with HPR measured by MPA >65% (p=0.02) or PRU >235 (p=0.05) than non-carriers with HPR.	null	active
DCU04565	null	null	Diabetic Foot Ulcer	Efficacious	Unclear	Phase 2	NCT00659646	E11.621 Type 2 diabetes mellitus with foot ulcer	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus; E11.621 Type 2 diabetes mellitus with foot ulcer	On treatment day 7, we noted clinical cure in no treatment patients and three control patients (P = .017). However, for evaluable patients at the test-of-cure visit, the treatment group had a significantly higher proportion of patients with clinical cure than did the control group (22 of 22 [100.0%] versus 7 of 10 [70.0%]; P =.024).	null	significantly higher clinical cure rate
DCU04568	null	null	HIV Infections	Efficacious	Unclear	Phase 3	NCT00389207	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU04572	Fentanyl: 10 mcg; Mepivacaine: 30 mg 1.5%	null	Knee Arthroscopy	Efficacious	Unclear	No information	NCT00803725	null	null	The time to completion of Phase I recovery was shorter in the combination group (104.6 +/- 28.4 min) than in the M group (129.1 +/- 30.4 min; P = 0.023).	null	more effective than mono therapy
DCU04577	Fluticasone Propionate: 250 mcg; Formoterol: 24 mcg	null	Asthma, Bronchial	Efficacious	Unclear	Phase 3	NCT00563056	J45.901 Asthma, asthmatic (bronchial)	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma; J45.901 Asthma, asthmatic (bronchial)	The mean FEV1 30-60 minutes post-dose on Day 84 was approximately 2.6 L in both the fluticasone/formoterol combination and the fluticasone + formoterol treatment groups (per protocol sets; treatment difference least squares (LS) mean: -0.03 L; 95% CI: -0.148, 0.081).	null	active
DCU04578	Fluticasone Propionate: 250 mg; Formoterol: 10 mg	null	Asthma, Bronchial	Efficacious	Unclear	Phase 3	NCT00734318	J45.901 Asthma, asthmatic (bronchial)	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma; J45.901 Asthma, asthmatic (bronchial)	Fluticasone/formoterol (500/20 mcg, b.i.d.) was at least as effective as fluticasone + formoterol (500 mcg + 24 mcg, b.i.d.) with respect to the primary outcome measure: there were similar increases in mean pre-morning dose forced expiratory volume in the first second (FEV(1)) in these two groups.	null	effective and well tolerated
DCU04588	null	null	Cesarean Delivery	Efficacious	Unclear	No information	NCT01216410	O90.0 Disruption of cesarean delivery wound	O00-O99   Pregnancy, childbirth and the puerperium; O85-O92  Complications predominantly related to the puerperium; O90  Complications of the puerperium, not elsewhere classified; O90.0 Disruption of cesarean delivery wound	null	null	null
DCU04614	Furosemide: 100 mg; Mannitol: 25 g	null	Contrast-induced Nephropathy	Non-efficacious	Unclear	No information	NCT00175227	N14.1 Nephropathy induced by other drugs, medicaments and biological substances	N00-N99   Diseases of the genitourinary system; N10-N16  Renal tubulo-interstitial ; N14  Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions; N14.1 Nephropathy induced by other drugs, medicaments and biological substances	null	null	null
DCU04623	null	null	Recurrent Adult Burkitt Lymphoma	Non-efficacious	Unclear	Phase 3	NCT00002649	C83.7 Burkitt lymphoma	"C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C83  Diffuse non-Hodgkin's lymphoma; C83.7 Burkitt lymphoma"	In randomized patients, there was no significant difference in PFS (hazard ratio of IL-2 to observation = 0.90; P =.56) or in OS (hazard ratio of IL-2 to observation = 0.88; P =.55).	null	no significant change compared with control group
DCU04649	Dihydroartemisinin: 320 mg; Piperaquine: 40 mg; Primaquine: 15 mg	null	Malaria infection	Efficacious	Unclear	Phase 4	NCT01392014	B54 Unspecified malaria	A00-B99  Certain infectious and parasitic diseases; B50-B64  Protozoal diseases; B54  Unspecified malaria	DHP prevented development of gametocytes in 277 patients without gametocytes on day 3. In the gametocytemic patients (n = 72), primaquine was associated with faster gametocyte clearance (hazard ratio = 2.42 [95% confidence interval, 1.39-4.19], P = .002) and reduced gametocyte densities (P = .018).	null	active
DCU04650	Dihydroartemisinin: 2.25 mg/kg; Piperaquine: 16-18 mg/kg; Primaquine: 15 mg/kg	null	Vivax Malaria	Efficacious	Unclear	Phase 3	NCT01288820	B51 Plasmodium vivax malaria	A00-B99  Certain infectious and parasitic diseases; B50-B64  Protozoal diseases; B51  Plasmodium vivax malaria	After treatment with AAQ + PQ, recurrent infection occurred in 0 of 167 patients within 42 days and in 15 of 130 (11.5%; 95% confidence interval [CI], 6.6%-18.3%) within a year. With DHP + PQ, this was 1 of 164 (0.6%; 95% CI, 0.01%-3.4%) and 13 of 143 (9.1%; 95% CI, 4.9%-15.0%), respectively (P > .2).	null	effective as other therapies
DCU04660	null	null	Diabetes Mellitus, Type 2	Non-efficacious	Unclear	Phase 4	NCT00279201	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	Baseline mean (SD) HbA1c was 9.0% (1.3) (75 [SD, 14] mmol/mol), and mean self-monitored BG was 12.1 mmol/L (3.1) (217 [SD, 55] mg/dL). In the clinically relevant HbA1c range of 7.0-9.0% (53-75 mmol/mol), non-Caucasian ethnic groups had 0.2-0.5% (2-6 mmol/mol) higher HbA1c compared with Caucasians for a given BG level.	null	active
DCU04666	null	null	Depression	Non-efficacious	Unclear	Phase 2/3	NCT00018902	F32.9 Major depressive disorder, single episode, unspecified	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F32  Major depressive disorder, single episode; F32.9 Major depressive disorder, single episode, unspecified	null	null	null
DCU04676	Alfacalcidol: 500 mg; Calcium; Ibandronate: 150 mg	null	Systemic Lupus Erythematosus	Efficacious	Unclear	Phase 4	NCT00668330	M32 Systemic lupus erythematosus (SLE)	M00-M99   Diseases of the musculoskeletal system and connective tissue; M30-M36  Systemic connective tissue disorders; M32  Systemic lupus erythematosus	The percentage improvement was significant in cortical bone density (P = 0.023) which was absent in the placebo group. Improvement was also seen in the aBMD of both the lumbar spine (P < 0.0001) and the hip (P < 0.005).	null	significant improvement compared with placebo group
DCU04687	Lamivudine: 300 mg; Raltegravir: 400 mg; Tenofovir: 300 mg	null	HIV Infections	Efficacious	Unclear	Phase 2	NCT00100048	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU04690	Emtricitabine: 200 mg; Lopinavir: 400 mg; Ritonavir: 100 mg; Tenofovir: 300 mg	null	Human Immunodeficiency Virus Infection	Need further study	Unclear	Phase 3	NCT00711009	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	The LPV/r+TDF/FTC group had a statistically significant (p<0.001) mean percent decrease from baseline to week 96 in bone mineral density, which was significantly different from the mean percent change in the LPV/r+RAL group (-2.48% vs. +0.68%, p<0.001).	null	active
DCU04694	Busulfan: 3.2 mg/kg; Melphalan: 140 mg/kg	null	Multiple Myeloma	Efficacious	Unclear	Phase 2	NCT00804947	C90 Multiple myeloma and malignant plasma cell neoplasms	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms	null	null	effective and well-tolerated
DCU04697	null	null	Refractory Multiple Myeloma	Efficacious	Unclear	Phase 3	NCT00114101	C90.02 Multiple myeloma in relapse	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms; C90.02 Multiple myeloma in relapse	null	null	null
DCU04600	Leuprolide acetate: 22.5 mg; Zoledronate: 4 mg	null	Prostate Cancer	Non-efficacious	Unclear	No information	NCT00193856	C61 Malignant neoplasm of prostate	C00-D48  Neoplasms; C60-C63  Malignant neoplasms of male genital organs; C61  Malignant neoplasm of prostate	null	null	null
DCU04713	null	null	Diabetes Mellitus, Type 2	Non-efficacious	Unclear	Phase 3	NCT00145925	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	Hazard ratios (95% confidence intervals) for the highest tenth of SBP variability were 1.54 (0.99-2.39) for macrovascular events and 1.84 (1.19-2.84) for microvascular events in comparison with the lowest tenth. For maximum SBP, hazard ratios (95% confidence intervals) for the highest tenth were 3.64 (1.73-7.66) and 2.18 (1.04-4.58), respectively.	null	active
DCU04719	null	null	Coronary Artery Disease	Efficacious	Unclear	Phase 4	NCT00611286	I25.9 Chronic ischemic heart disease, unspecified	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.9 Chronic ischemic heart disease, unspecified	null	null	null
DCU04723	Amodiaquine: 300 mg; Artesunate: 100 mg; Pyrimethamine: 75 mg; Sulfadoxine: 1500 mg	null	Malaria infection	Efficacious	Unclear	Phase 3	NCT00432367	B54 Unspecified malaria	A00-B99  Certain infectious and parasitic diseases; B50-B64  Protozoal diseases; B54  Unspecified malaria	null	null	null
DCU04731	Desipramine: 200 mg/day; Naltrexone: 600 mg/week; Paroxetine: 40 mg/kg	null	Alcoholism	Non-efficacious	Unclear	Phase 3	NCT00338962	F10.1 Alcohol abuse	F00-F99  Mental and behavioural disorders; F10-F19  Mental and behavioural disorders due to psychoactive substance use; F10  Alcohol related disorders; F10.1 Alcohol abuse	null	null	null
DCU04753	Campath 1H: 30 mg; Rituximab: 375 mg/m2; Sargramostim: 250 mcg	null	Leukemia	Non-efficacious	Unclear	Phase 2	NCT00562328	C91.1 Chronic lymphocytic leukemia of B-cell type	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C91  Lymphoid leukaemia; C91.1 Chronic lymphocytic leukemia of B-cell type	Using standard criteria, 31 (94%) patients responded to treatment, with nine (27%) complete responses (one with persistent cytopenia) and nine (27%) nodular partial responses. Median progression-free survival was 13.0 months and time to next treatment was 33.5 months. No patient died during treatment, seven (21%) had grade 3-4 toxicities attributable to treatment, and 10 (30%) had CMV viremia.	null	null
DCU04765	Miltefosine: 2.5 mg/Kg/day; Paromomycin: 15mg/kg/day	null	Visceral Leishmaniasis	Efficacious	Unclear	Phase 3	NCT00696969	B55.0 Visceral leishmaniasis	A00-B99  Certain infectious and parasitic diseases; B50-B64  Protozoal diseases; B55  Leishmaniasis; B55.0 Visceral leishmaniasis	The numbers with definitive cure at 6 months for the intention-to-treat population were 146 (cure rate 93%; CI 87.5-96.3) for amphotericin B, 156 (97.5%; 93.3-99.2) for liposomal amphotericin B and miltefosine, 154 (97.5%; 93.24-99.2) for liposomal amphotericin B and paromomycin, and 157 (98.7%; 95.1-99.8) for miltefosine and paromomycin.	null	showed improvement compared with monotherapy
DCU04780	Exenatide: 20 mg; Prednisolone: 80 mg	null	Glucocorticoid-induced Glucometabolic Abnormalities	Need further study	Unclear	No information	NCT00744224	T38.0X5 Adverse effect of glucocorticoids and synthetic analogues	S00-T98   Injury, poisoning and certain other consequences of external causes; T36-T50  Poisoning by drugs, medicaments and biological substances; T38  Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified; T38.0X5 Adverse effect of glucocorticoids and synthetic analogues	EXE reduced PRED-induced hyperglucagonemia during the meal challenge (P = 0.018) and decreased gastric emptying (vs. PRED+SAL, P = 0.028; vs. PLB+SAL, P = 0.046). PRED+SAL decreased first-phase glucose- and arginine-stimulated C-peptide secretion (vs. PLB+SAL, P = 0.017 and P = 0.05, respectively), whereas PRED+EXE improved first- and second-phase glucose- and arginine-stimulated C-peptide secretion (vs. PLB+SAL; P = 0.017, 0.012, and 0.093, respectively).	null	sigificant improvements
